date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2015-07-21,5.11,5.25,5.13,5.03,2777116.75,-0.05,-0.96,5.186,5.169,5.074,3608628.3,5875038.2,6160815.73,1.76
2015-07-20,5.23,5.3,5.18,5.13,3565255.75,-0.12,-2.26,5.188,5.114,5.12,4383556.15,6646471.93,6243016.79,2.26
2015-07-17,5.16,5.37,5.3,5.1,3990059.75,0.14,2.71,5.272,5.032,5.161,5464368.8,7192589.35,6298293.63,2.53
2015-07-16,5.17,5.29,5.15,4.99,3116979.25,-0.02,-0.39,5.314,4.907,5.225,6353799.45,7406225.43,6336619.46,1.98
2015-07-15,5.08,5.19,5.17,4.67,4593730.0,0.03,0.58,5.286,4.84,5.304,7009611.9,7606340.35,6435222.48,2.92
2015-07-14,5.44,5.5,5.14,5.06,6651756.0,-0.46,-8.21,5.152,4.807,5.377,8141448.1,7693405.85,6499843.38,4.23
2015-07-13,5.49,5.85,5.6,5.31,8969319.0,0.09,1.63,5.04,4.812,5.477,8909387.7,7733159.3,6633095.78,5.7
2015-07-10,5.08,5.51,5.51,4.94,8437213.0,0.5,9.98,4.792,4.732,5.551,8920809.9,7484139.35,6598044.6,5.36
2015-07-09,4.55,5.01,5.01,4.42,6396041.5,0.46,10.11,4.5,4.713,5.633,8458651.4,7154792.45,6651662.5,4.06
2015-07-08,4.16,4.85,4.5,4.12,10252911.0,-0.08,-1.75,4.394,4.803,5.729,8203068.8,6974058.75,6635856.58,6.51
2015-07-07,4.18,4.67,4.58,3.92,10491454.0,0.23,5.29,4.462,4.978,5.855,7245363.6,6446593.25,6529461.03,6.66
2015-07-06,4.44,4.44,4.36,4.18,9026430.0,0.32,7.92,4.584,5.125,5.975,6556930.9,5839561.65,6448888.08,5.73
2015-07-03,4.46,4.59,4.05,4.02,6126420.5,-0.42,-9.4,4.672,5.29,6.095,6047468.8,5403997.9,6428998.23,3.89
2015-07-02,4.87,4.97,4.48,4.4,5118128.5,-0.35,-7.25,4.926,5.542,6.217,5850933.5,5267013.5,6395205.63,3.25
2015-07-01,5.12,5.25,4.84,4.8,5464385.0,-0.35,-6.74,5.212,5.768,6.318,5745048.7,5264104.6,6415518.55,3.47
2015-06-30,4.86,5.2,5.19,4.33,7049290.5,0.39,8.12,5.494,5.947,6.408,5647822.9,5306280.9,6418175.43,4.48
2015-06-29,5.45,5.46,4.8,4.79,6479119.5,-0.52,-9.77,5.666,6.142,6.479,5122192.4,5533032.25,6335893.9,4.12
2015-06-26,5.77,5.77,5.32,5.32,5143744.0,-0.59,-9.98,5.908,6.369,6.557,4760527.0,5711949.85,6346081.28,3.27
2015-06-25,6.26,6.26,5.91,5.81,4588704.5,-0.34,-5.44,6.158,6.552,6.616,4683093.5,6148532.55,6609777.93,2.91
2015-06-24,6.08,6.3,6.25,6.03,4978256.0,0.2,3.31,6.324,6.655,6.677,4783160.5,6297654.4,6804300.75,3.16
2015-06-23,6.01,6.08,6.05,5.44,4421138.0,0.05,0.83,6.4,6.731,6.72,4964738.9,6612328.8,6957985.25,2.81
2015-06-19,6.36,6.49,6.01,5.98,4670792.5,-0.55,-8.38,6.618,6.825,6.772,5943872.1,7058214.5,7105019.4,2.97
2015-06-18,6.68,6.89,6.57,6.53,4756576.5,-0.16,-2.38,6.83,6.9,6.815,6663372.7,7453998.55,7187190.03,3.02
2015-06-17,6.62,6.76,6.74,6.3,5089039.5,0.11,1.66,6.946,6.891,6.822,7613971.6,7523397.75,7158715.73,3.23
2015-06-16,6.98,7.04,6.63,6.56,5886148.0,-0.51,-7.14,6.986,6.867,6.822,7812148.3,7566932.5,7195442.58,3.74
2015-06-15,7.11,7.34,7.14,6.89,9316804.0,0.07,0.99,7.062,6.869,6.825,8259918.7,7530069.95,7161103.08,5.92
2015-06-12,7.17,7.17,7.07,6.92,8268295.5,-0.08,-1.12,7.032,6.816,6.797,8172556.9,7138755.55,7018918.93,5.25
2015-06-11,6.95,7.33,7.15,6.95,9509571.0,0.21,3.03,6.97,6.744,6.791,8244624.4,6980212.7,7375365.25,6.04
2015-06-10,6.94,7.04,6.94,6.83,6079923.0,-0.07,-1.0,6.836,6.679,6.772,7432823.9,7071023.3,7386807.85,3.86
2015-06-09,7.05,7.13,7.01,6.81,8125000.0,0.02,0.29,6.748,6.699,6.732,7321716.7,7310947.1,7367713.4,5.16
2015-06-08,6.77,7.0,6.99,6.72,8879995.0,0.23,3.4,6.676,6.709,6.687,6800221.2,7303641.7,7196791.23,5.64
